Channel(S=n_sum,L=LaBr3,C=neutron,M=neutron,G=germanium,X=xpos,R=theta,T=rf)	Type		Pixel	TimeOffset Type{(P)olynomial,(E)xponential,(L)ogarithmic)	x^0	x^1	x^2	... OR Ae^Bx + C OR AlogB(Cx) + D	e	efficiency_terms
 2	S	 0	      0	P	1000	e	0
 3	L	-0	      0	P	25.8179	0.0249227	e	0
11	M	 1	  73947	P	0	0.1	e	0
12	M	 2	  72256	P	0	0.1	e	0
13	M	 3	  78747	P	0	0.1	e	0
14	M	 4	  79898	P	0	0.1	e	0
15	C	 5	 -73785	P	0	0.001	e	0
16	M	 6	  83688	P	0	0.1	e	0
17	M	 7	  81522	P	0	0.1	e	0
18	M	 8	  82766	P	0	0.1	e	0
21	M	 9	  78080	P	0	0.1	e	0
22	M	10	  86535	P	0	0.1	e	0
23	M	11	  86361	P	0	0.1	e	0
24	M	12	  88051	P	0	0.1	e	0
25	C	13	 -73851	P	0	0.001	e	0
26	M	14	  87085	P	0	0.1	e	0
27	M	15	  85039	P	0	0.1	e	0
28	M	16	  86009	P	0	0.1	e	0
31	M	17	  77967	P	0	0.1	e	0
32	M	18	  79414	P	0	0.1	e	0
33	M	19	  78262	P	0	0.1	e	0
34	C	20	 -73634	P	0	0.001	e	0
35	C	21	 -73369	P	0	0.001	e	0
36	M	22	 -38177	P	0	0.1	e	0
37	M	23	  78889	P	0	0.1	e	0
38	M	24	  78186	P	0	0.1	e	0
41	C	25	 -76172	P	0	0.001	e	0
42	C	26	 -72863	P	0	0.001	e	0
43	C	27	 -70999	P	0	0.001	e	0
44	C	28	 -75580	P	0	0.001	e	0
45	C	29	 -65674	P	0	0.001	e	0
46	C	30	 -66561	P	0	0.001	e	0
47	M	31	  84653	P	0	0.1	e	0
48	M	32	  84275	P	0	0.1	e	0
51	M	33	  80841	P	0	0.1	e	0
52	M	34	  83361	P	0	0.1	e	0
53	C	35	 -67719	P	0	0.001	e	0
54	C	36	 -70397	P	0	0.001	e	0
55	C	37	 -73777	P	0	0.001	e	0
56	C	38	 -76286	P	0	0.001	e	0
57	C	39	 -70269	P	0	0.001	e	0
58	C	40	 -73615	P	0	0.001	e	0
61	M	41	  72982	P	0	0.1	e	0
62	M	42	  74334	P	0	0.1	e	0
63	M	43	  78538	P	0	0.1	e	0
64	C	44	 -66394	P	0	0.001	e	0
65	C	45	 -66613	P	0	0.001	e	0
66	M	46	 -33656	P	0	0.1	e	0
67	M	47	 -29921	P	0	0.1	e	0
68	M	48	 -32157	P	0	0.1	e	0
71	M	49	 -27702	P	0	0.1	e	0
72	M	50	 -28427	P	0	0.1	e	0
73	M	51	 -22054	P	0	0.1	e	0
74	C	52	 -70074	P	0	0.001	e	0
75	M	53	 -39708	P	0	0.1	e	0
76	M	54	 -40854	P	0	0.1	e	0
77	M	55	 -27833	P	0	0.1	e	0
78	M	56	 -39738	P	0	0.1	e	0
81	M	57	 -46752	P	0	0.1	e	0
82	M	58	 -30356	P	0	0.1	e	0
83	M	59	 -43807	P	0	0.1	e	0
84	C	60	 -73750	P	0	0.001	e	0
85	M	61	 -23804	P	0	0.1	e	0
86	M	62	 -24314	P	0	0.1	e	0
87	M	63	 -36598	P	0	0.1	e	0
88	M	64	 -41855	P	0	0.1	e	0
90	G	-1	 -74052	P	-0.0547329	0.00886368	e	0
91	G	-2	-115538	P	0.572201		0.0220622		e	0
95	X	 0	      0	P	0	0.01	e	0
96	R	 0	      0	P	0	0.01	e	0
97	T	 0	      0	P	0	0.001	e	0
