Channel	Type	Low			High
11		  c			     0	 38152
12		  c			     0	 38152
13		  c			     0	 38152
14		  c			     0	 38152
15		  c			     0	 38152
16		  c			     0	 38152
17		  c			     0	 38152
18		  c			     0	 38152
21		  c			     0	 38152
22		  c			     0	 38152
23		  c			     0	 38152
24		  c			     0	 38152
25		  c			     0	 38152
26		  c			     0	 38152
27		  c			     0	 38152
28		  c			     0	 38152
31		  c			     0	 38152
32		  c			     0	 38152
33		  c			     0	 38152
34		  c			     0	 38152
35		  c			     0	 38152
37		  c			     0	 38152
38		  c			     0	 38152
41		  c			     0	 38152
42		  c			     0	 38152
43		  c			     0	 38152
44		  c			     0	 38152
47		  c			     0	 38152
48		  c			     0	 38152
51		  c			     0	 38152
52		  c			     0	 38152
53		  c			     0	 38152
54		  c			     0	 38152
55		  c			     0	 38152
56		  c			     0	 38152
57		  c			     0	 38152
58		  c			     0	 38152
61		  c			     0	 38152
62		  c			     0	 38152
63		  c			     0	 38152
64		  c			     0	 38152
65		  c			     0	 38152
74		  c			     0	 38152
84		  c			     0	 38152
90			c			     0	 38421
91			c			 20656	 84296
90			c			104389	209173		
91			c			156877	233373
