Channel(S=n_sum,L=LaBr3,C=neutron,M=neutron,G=germanium,X=xpos,R=theta,T=rf)	Type		Pixel	TimeOffset Type{(P)olynomial,(E)xponential,(L)ogarithmic)	x^0	x^1	x^2	... OR Ae^Bx + C OR AlogB(Cx) + D	e	efficiency_terms
 2	S	 0	 -65320	P	1000	e	0
 3	L	-0	-190000	P	25.8179	0.0249227	e	0
11	M	 1	  89192	P	0	0.1	e	0
12	M	 2	  96334	P	0	0.1	e	0
13	M	 3	 109073	P	0	0.1	e	0
14	M	 4	 112823	P	0	0.1	e	0
15	C	 5	 -31871	P	0	0.001	e	0
16	M	 6	 109492	P	0	0.1	e	0
17	M	 7	 107046	P	0	0.1	e	0
18	M	 8	  98652	P	0	0.1	e	0
21	M	 9	  85126	P	0	0.1	e	0
22	M	10	 111293	P	0	0.1	e	0
23	M	11	 111541	P	0	0.1	e	0
24	M	12	 111412	P	0	0.1	e	0
25	C	13	 -36063	P	0	0.001	e	0
26	M	14	 111858	P	0	0.1	e	0
27	M	15	 109846	P	0	0.1	e	0
28	M	16	 111077	P	0	0.1	e	0
31	M	17	  63901	P	0	0.1	e	0
32	M	18	 107868	P	0	0.1	e	0
33	M	19	 113131	P	0	0.1	e	0
34	C	20	 -33622	P	0	0.001	e	0
35	C	21	 -33865	P	0	0.001	e	0
36	M	22	  -5845	P	0	0.1	e	0
37	M	23	 114455	P	0	0.1	e	0
38	M	24	 112868	P	0	0.1	e	0
41	C	25	 -39942	P	0	0.001	e	0
42	C	26	 -36398	P	0	0.001	e	0
43	C	27	 -37368	P	0	0.001	e	0
44	C	28	 -41176	P	0	0.001	e	0
45	C	29	 -36497	P	0	0.001	e	0
46	C	30	 -41659	P	0	0.001	e	0
47	M	31	 109562	P	0	0.1	e	0
48	M	32	 109453	P	0	0.1	e	0
51	M	33	  96863	P	0	0.1	e	0
52	M	34	 109194	P	0	0.1	e	0
53	C	35	 -32013	P	0	0.001	e	0
54	C	36	 -32499	P	0	0.001	e	0
55	C	37	 -34036	P	0	0.001	e	0
56	C	38	 -34212	P	0	0.001	e	0
57	C	39	 -38037	P	0	0.001	e	0
58	C	40	 -35634	P	0	0.001	e	0
61	M	41	 108852	P	0	0.1	e	0
62	M	42	 109073	P	0	0.1	e	0
63	M	43	 113184	P	0	0.1	e	0
64	C	44	 -40285	P	0	0.001	e	0
65	C	45	 -40667	P	0	0.001	e	0
66	M	46	   -872	P	0	0.1	e	0
67	M	47	      0	P	0	0.1	e	0
68	M	48	  -3742	P	0	0.1	e	0
71	M	49	      0	P	0	0.1	e	0
72	M	50	     39	P	0	0.1	e	0
73	M	51	 -13793	P	0	0.1	e	0
74	C	52	 -35725	P	0	0.001	e	0
75	M	53	 -13415	P	0	0.1	e	0
76	M	54	 -14234	P	0	0.1	e	0
77	M	55	  -1457	P	0	0.1	e	0
78	M	56	  -3634	P	0	0.1	e	0
81	M	57	 -14000	P	0	0.1	e	0
82	M	58	   3829	P	0	0.1	e	0
83	M	59	 -19380	P	0	0.1	e	0
84	C	60	 -39133	P	0	0.001	e	0
85	M	61	      0	P	0	e	0
86	M	62	      0	P	0	e	0
87	M	63	      0	P	0	e	0
88	M	64	      0	P	0	e	0
90	G	-1	 -33006	P	-0.0547329	0.00886368	e	0
91	G	-2	 -63973	P	0.572201		0.0220622		e	0
95	X	 0	 -30216	P	0	0.01	e	0
96	R	 0	 -60993	P	0	0.01	e	0
97	T	 0	      0	P	0	0.001	e	0
